film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,last_update,special_features,fulltext
2,Ace Goldfinger,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,1,3,4.99,48,12.99,G,50:59.0,"{Trailers,""Deleted Scenes""}",'ace':1 'administr':9 'ancient':19 'astound':4 'car':17 'china':20 'databas':8 'epistl':5 'explor':12 'find':15 'goldfing':2 'must':14
4,Affair Prejudice,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,1,5,2.99,117,26.99,G,50:59.0,"{Commentaries,""Behind the Scenes""}",'affair':1 'chase':14 'documentari':5 'fanci':4 'frisbe':8 'lumberjack':11 'monkey':16 'must':13 'prejudic':2 'shark':19 'tank':20
5,African Egg,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,1,6,2.99,130,22.99,G,50:59.0,"{""Deleted Scenes""}",'african':1 'chef':11 'dentist':14 'documentari':7 'egg':2 'fast':5 'fast-pac':4 'forens':19 'gulf':23 'mexico':25 'must':16 'pace':6 'pastri':10 'psychologist':20 'pursu':17
11,Alamo Videotape,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,1,6,0.99,126,16.99,G,50:59.0,"{Commentaries,""Behind the Scenes""}",'alamo':1 'bore':4 'butler':8 'cat':11 'chef':17 'convent':21 'epistl':5 'fight':14 'must':13 'mysql':20 'pastri':16 'videotap':2
22,Amistad Midsummer,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,1,6,2.99,85,10.99,G,50:59.0,"{Commentaries,""Behind the Scenes""}",'amistad':1 'california':20 'charact':5 'crocodil':12 'dentist':9 'emot':4 'meet':15 'midsumm':2 'must':14 'studi':6 'sumo':17 'wrestler':18
25,Angels Life,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,3,2.99,74,15.99,G,50:59.0,{Trailers},'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8
26,Annie Identity,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,1,3,0.99,86,15.99,G,50:59.0,"{Commentaries,""Deleted Scenes""}",'abandon':20 'amaz':4 'amus':21 'anni':1 'boat':12 'chef':9 'escap':15 'ident':2 'must':14 'panorama':5 'park':22 'pastri':8 'woman':17
39,Armageddon Lost,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,2006,1,5,0.99,99,10.99,G,50:59.0,{Trailers},'abandon':21 'armageddon':1 'boat':10 'compos':18 'fast':5 'fast-pac':4 'lost':2 'mine':22 'must':15 'pace':6 'shaft':23 'succumb':16 'tale':7 'teacher':13
43,Atlantis Cause,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,2006,1,6,2.99,170,15.99,G,50:59.0,"{""Behind the Scenes""}",'atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5
46,Autumn Crow,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,2006,1,3,4.99,108,13.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5
50,Baked Cleopatra,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,2006,1,3,2.99,182,20.99,G,50:59.0,"{Commentaries,""Behind the Scenes""}",'bake':1 'cleopatra':2 'drama':5 'forens':8 'husband':12 'monasteri':20 'must':14 'overcom':15 'psychologist':9 'stun':4 'waitress':17
126,Casualties Encino,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,2006,1,3,4.99,179,16.99,G,50:59.0,{Trailers},'boy':18 'casualti':1 'chef':13 'encino':2 'face':16 'insight':4 'monasteri':21 'must':15 'pastri':12 'shark':9 'yarn':5
52,Ballroom Mockingbird,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,2006,1,6,0.99,173,29.99,G,50:59.0,"{Commentaries,""Deleted Scenes""}",'ballroom':1 'california':18 'compos':8 'documentari':5 'feminist':16 'find':14 'mockingbird':2 'monkey':11 'must':13 'thrill':4
55,Barbarella Streetcar,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,2006,1,6,2.99,65,27.99,G,50:59.0,"{""Behind the Scenes""}",'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2
56,Barefoot Manchurian,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,1,6,2.99,129,15.99,G,50:59.0,"{Trailers,Commentaries}",'abandon':19 'amus':20 'barefoot':1 'cat':8 'girl':16 'intrepid':4 'manchurian':2 'must':13 'park':21 'stori':5 'student':11 'vanquish':14
58,Beach Heartbreakers,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,2006,1,6,2.99,122,16.99,G,50:59.0,"{""Deleted Scenes"",""Behind the Scenes""}",'beach':1 'display':5 'fate':4 'georgia':21 'heartbreak':2 'mad':11 'must':14 'outgun':15 'scientist':12 'shark':18 'soviet':20 'woman':8
61,Beauty Grease,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,2006,1,5,4.99,175,28.99,G,50:59.0,"{Trailers,Commentaries}",'abandon':21 'beauti':1 'compos':10 'display':7 'fast':5 'fast-pac':4 'greas':2 'mine':22 'moos':13 'must':15 'pace':6 'robot':18 'shaft':23 'sink':16
75,Bird Independence,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,2006,1,6,4.99,163,14.99,G,50:59.0,"{Commentaries,""Behind the Scenes""}",'bird':1 'canadian':19 'car':8 'documentari':5 'hunter':16 'independ':2 'must':13 'rocki':20 'sink':14 'student':11 'thrill':4
77,Birds Perdition,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,1,5,4.99,61,15.99,G,50:59.0,"{Trailers,""Behind the Scenes""}",'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8
80,Blanket Beverly,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,2006,1,7,2.99,148,21.99,G,50:59.0,{Trailers},'bever':2 'blanket':1 'boat':16 'build':14 'documentari':5 'emot':4 'girl':11 'must':13 'nigeria':18 'student':8
82,Blood Argonauts,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,2006,1,3,0.99,71,13.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}",'argonaut':2 'blood':1 'bore':4 'drama':5 'explor':8 'kill':14 'lumberjack':16 'man':11 'manhattan':19 'must':13 'penthous':20
83,Blues Instinct,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,2006,1,5,2.99,50,18.99,G,50:59.0,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'blue':1 'boat':8 'compos':11 'documentari':5 'forens':16 'fun':21 'hous':22 'insight':4 'instinct':2 'meet':14 'must':13 'psychologist':17
